"Person","time","t1ambiv","pospexpress","posRel"
55,8,0.4,9,9
55,9,0.4,10,9.333333
55,10,0.4,10,10
55,11,0.4,8,10
55,12,0.4,9,9.333333
55,14,0.4,9,10
55,15,0.4,8,9.333333
55,16,0.4,8,9
55,17,0.4,8,9.666667
55,18,0.4,10,9.666667
55,19,0.4,7,9.666667
55,20,0.4,9,9.666667
55,21,0.4,8,10
55,22,0.4,8,10
56,1,0.8,9,9.666667
56,2,0.8,8,9.5
56,3,0.8,8,8.333333
56,4,0.8,8,9
56,5,0.8,4,7.333333
56,6,0.8,9,7.333333
56,7,0.8,7,8.666667
56,8,0.8,8,8
56,9,0.8,6,8.333333
56,10,0.8,9,10
56,11,0.8,4,9.666667
56,12,0.8,5,8.666667
56,13,0.8,4,9.666667
56,14,0.8,6,9
56,15,0.8,5,8.666667
56,16,0.8,4,9.666667
56,17,0.8,3,9
56,18,0.8,4,9.666667
56,19,0.8,2,9.333333
56,20,0.8,0,9.333333
57,1,0.6,7,9
57,2,0.6,0,9.333333
57,3,0.6,7,8
57,4,0.6,7,9
57,5,0.6,8,9
57,6,0.6,8,9.333333
57,7,0.6,7,9
57,8,0.6,8,9.666667
57,9,0.6,9,10
57,10,0.6,4,9
57,11,0.6,6,9
57,12,0.6,8,8.666667
57,13,0.6,6,9.333333
57,14,0.6,8,9.333333
57,15,0.6,6,9.333333
57,16,0.6,3,7.666667
57,17,0.6,7,9.333333
57,18,0.6,6,9
57,19,0.6,3,8.666667
57,20,0.6,5,8.333333
58,1,0.4,0,7.666667
58,2,0.4,9,8.333333
58,3,0.4,9,9.333333
58,4,0.4,8,9.333333
58,5,0.4,8,9.333333
58,10,0.4,0,4.333333
58,11,0.4,0,4.666667
58,12,0.4,0,2.666667
58,13,0.4,0,1.666667
58,18,0.4,0,2.666667
58,20,0.4,0,3.333333
60,1,2.4,1,9.333333
60,2,2.4,4,10
60,5,2.4,0,8.333333
60,6,2.4,2,7
60,7,2.4,7,9
60,8,2.4,3,7.666667
60,9,2.4,6,7.333333
60,10,2.4,5,8.333333
60,12,2.4,3,7.666667
60,13,2.4,6,10
60,14,2.4,6,9
60,15,2.4,0,10
60,18,2.4,6,4.666667
63,1,0,6,9.666667
63,2,0,6,9.333333
63,3,0,3,9
63,4,0,0,9.333333
63,5,0,0,8.666667
63,6,0,2,9.333333
63,7,0,0,9
63,8,0,10,9.333333
63,9,0,4,9.666667
63,10,0,4,9.666667
63,11,0,0,8.666667
63,12,0,5,9.666667
63,13,0,5,9.666667
63,14,0,6,9.666667
63,15,0,7,9.333333
63,16,0,7,9.333333
63,17,0,0,8.666667
63,18,0,6,9.666667
63,19,0,7,10
63,20,0,0,10
64,1,0.4,2,9
64,2,0.4,7,9.666667
64,3,0.4,0,9.333333
64,4,0.4,7,10
64,5,0.4,0,9.333333
64,7,0.4,0,8.333333
64,8,0.4,7,10
64,9,0.4,8,10
64,10,0.4,0,9.333333
64,11,0.4,3,8
64,14,0.4,6,9.333333
64,15,0.4,6,9
64,16,0.4,7,10
64,17,0.4,0,9.333333
64,18,0.4,0,9
64,19,0.4,9,8.666667
64,20,0.4,3,8.666667
68,1,1,3,9.333333
68,2,1,7,9.333333
68,3,1,3,7.666667
68,4,1,4,9
68,5,1,3,9
68,6,1,4,9
68,7,1,0,8.666667
68,8,1,5,9
68,9,1,6,10
68,10,1,8,10
68,11,1,6,10
68,12,1,10,10
68,13,1,10,9.333333
68,14,1,8,10
68,15,1,5,10
68,16,1,10,10
68,17,1,7,9.666667
68,18,1,10,10
68,19,1,8,10
68,20,1,6,9.333333
69,1,0,9,10
69,2,0,10,10
69,3,0,10,9
69,4,0,10,10
69,5,0,7,10
69,6,0,7,9.333333
69,7,0,10,10
69,8,0,9,9
69,9,0,3,10
69,10,0,7,8.666667
69,11,0,0,9
69,12,0,0,10
69,13,0,0,8.333333
69,14,0,0,9.666667
69,15,0,0,8.666667
69,17,0,0,9.333333
69,18,0,0,9.666667
69,19,0,0,9
69,20,0,0,9.666667
69,21,0,0,10
69,22,0,4,10
70,1,1.4,10,9.333333
70,2,1.4,6,7.666667
70,3,1.4,7,8.666667
70,4,1.4,9,8.333333
70,5,1.4,3,6
70,6,1.4,7,6.333333
70,7,1.4,8,5.333333
70,8,1.4,8,6.666667
70,9,1.4,3,5.666667
70,10,1.4,9,6
70,11,1.4,5,5.333333
70,12,1.4,9,8.666667
70,13,1.4,3,6.666667
70,14,1.4,8,6.666667
70,15,1.4,5,8.333333
70,16,1.4,6,8
