"DYAD","DAY","f_ARGUE","f_CLOSE","m_ARGUE","m_CLOSE","f_hb","m_hb"
81,5,2,3,1,3,0,0
81,6,2,3,1,3,0,0
81,7,0,3,0,3,0,0
82,1,0,3,0,3,0,0
82,2,0,3,0,3,0,0
82,3,0,3,0,3,0,0
82,4,0,3,0,3,0,-1
82,5,0,3,0,3,0,1
82,6,0,3,0,3,0,-1
82,7,0,3,0,3,0,-1
83,1,0,3,0,3,1,0
83,2,0,2,1,3,1,0
83,3,1,3,2,3,0,3
83,4,2,3,3,2,-1,1
83,5,1,2,0,3,1,2
83,6,0,3,0,2,3,1
83,7,0,3,1,3,0,1
84,1,0,3,0,3,1,0
84,2,0,2,1,3,1,0
84,3,1,3,2,3,0,3
84,4,2,3,3,2,-1,1
84,5,1,2,0,3,1,2
84,6,0,3,0,2,3,1
84,7,0,3,1,3,0,1
85,1,1,3,0,3,0,0
85,2,0,0,0,3,-1,0
85,3,0,1,0,3,0,-1
85,4,2,3,0,2,-1,2
85,5,0,2,0,1,0,1
85,6,1,1,0,1,0,0
85,7,4,3,0,3,-3,-1
86,1,0,3,0,3,0,0
86,2,1,3,1,3,0,0
86,3,0,3,0,3,1,1
86,4,0,3,0,3,0,0
86,5,0,3,0,3,0,0
86,6,0,2,0,3,0,0
86,7,0,3,1,3,0,0
87,1,0,3,0,3,0,0
87,2,0,3,0,3,1,1
87,3,1,3,1,3,0,-1
87,4,1,3,1,3,0,-1
87,5,1,3,1,3,1,0
87,6,1,3,1,3,0,0
87,7,1,3,1,2,1,-2
88,1,0,3,0,3,0,0
88,2,1,3,1,3,1,0
88,3,0,3,0,3,0,0
88,4,0,3,0,3,0,-1
88,5,0,3,0,3,0,1
88,6,0,3,1,3,0,0
88,7,1,3,1,3,1,0
89,1,0,3,0,3,1,1
89,2,0,3,0,3,0,1
89,3,0,3,0,3,0,0
89,4,1,3,1,3,0,1
89,5,1,3,1,3,0,0
89,6,0,2,0,3,0,0
89,7,0,2,0,3,0,0
90,1,0,2,0,2,0,0
90,2,0,2,0,2,0,0
90,3,0,2,0,2,0,-1
90,4,0,2,0,0,-2,3
90,5,0,2,0,2,0,0
90,6,0,2,0,2,0,0
90,7,0,2,0,2,0,0
91,1,2,3,1,3,-3,-1
91,2,2,3,2,2,-2,-1
91,3,1,3,2,2,-3,0
91,4,1,2,1,3,-3,0
91,5,1,3,4,3,-3,0
91,6,0,3,0,3,-2,0
91,7,NA,NA,2,3,NA,-2
92,1,2,2,3,2,0,0
92,2,3,2,3,1,0,0
92,3,3,2,3,2,-1,0
92,4,3,2,3,3,-2,-2
92,5,2,2,2,2,2,3
92,6,2,2,2,2,0,0
92,7,2,3,2,2,-3,-3
93,1,0,3,0,3,0,0
93,2,0,3,0,3,0,0
93,3,0,3,0,3,0,0
93,4,0,3,0,3,0,0
93,5,0,3,0,3,1,-1
93,6,0,3,0,3,0,0
93,7,0,3,0,3,0,0
94,1,1,3,0,3,1,-2
94,2,1,2,0,3,2,1
94,3,0,2,0,3,-1,-1
94,4,3,0,0,2,0,0
94,5,1,2,0,2,1,0
94,6,0,3,0,2,3,0
94,7,0,2,0,2,-3,0
95,1,3,2,2,2,-1,0
95,2,2,3,0,2,-1,-3
95,3,4,2,0,2,2,-2
95,4,3,1,1,0,-2,-3
95,5,3,2,3,2,0,-1
95,6,3,3,2,2,-2,0
95,7,4,3,2,3,0,-2
96,1,2,0,2,1,-3,-3
96,2,1,1,3,0,-3,-3
96,3,1,1,1,1,-3,-3
96,4,3,1,3,0,-1,-3
96,5,3,1,3,1,-3,-3
96,6,3,1,3,1,-3,-3
96,7,3,1,3,1,-3,-3
97,1,0,3,0,3,0,0
97,2,0,3,0,3,1,3
97,3,0,3,0,3,0,0
97,4,0,3,0,3,1,0
97,5,0,3,0,3,1,1
97,6,0,3,0,3,1,0
97,7,0,3,0,3,0,0
98,1,1,3,1,3,-1,-1
98,2,2,3,2,3,2,2
98,3,2,3,2,3,2,1
98,4,0,3,0,3,1,1
98,5,0,3,0,3,0,0
98,6,0,3,0,3,0,0
98,7,0,3,0,3,0,0
99,1,0,3,1,3,0,1
99,2,0,3,3,3,0,0
99,3,0,3,2,3,0,0
99,4,0,3,0,3,0,0
99,5,0,3,0,3,0,0
99,6,0,3,0,3,0,0
99,7,0,3,0,3,0,0
100,1,1,0,0,1,-1,0
100,2,0,3,0,1,-1,0
100,3,0,3,0,3,0,0
100,4,0,3,0,3,0,0
100,5,0,3,0,3,0,0
100,6,0,3,0,3,0,0
100,7,0,3,0,3,0,0
101,1,0,2,0,2,-1,-2
101,2,0,2,0,3,-1,-1
101,3,0,2,0,2,0,-1
101,4,0,2,0,2,-1,-1
101,5,0,2,0,3,-1,-1
101,6,0,2,0,2,-1,-2
101,7,0,2,0,2,-1,-1
102,1,0,3,0,3,-1,-1
102,2,0,3,0,3,-1,-1
102,3,0,3,0,3,0,-1
102,4,0,3,0,3,0,-1
102,5,0,3,0,3,0,-1
102,6,0,3,0,3,-2,-1
102,7,0,3,0,3,-2,-1
103,1,0,3,0,3,0,-1
103,2,0,3,0,3,-1,-1
103,3,0,3,0,3,0,0
103,4,0,3,0,3,0,0
103,5,0,3,0,2,-1,-2
103,6,0,3,0,3,-1,-2
103,7,0,3,0,2,-1,-1
104,1,0,3,0,3,0,0
104,2,0,3,0,2,-1,-1
104,3,0,3,0,3,-2,-1
104,4,0,3,0,3,-1,0
104,5,0,3,0,3,0,0
104,6,0,3,0,3,-2,0
104,7,0,3,0,3,0,0
105,1,1,3,1,3,-3,-3
105,2,1,3,2,3,-1,-1
105,3,0,3,0,3,-2,-2
105,4,1,3,1,3,0,0
105,5,0,3,0,3,0,0
105,6,0,3,0,3,-1,-1
105,7,0,3,0,3,-1,-1
106,1,0,3,0,3,-1,-1
106,2,0,3,0,3,-1,-2
106,3,0,3,0,3,1,-1
106,4,0,3,0,3,2,-1
106,5,0,3,0,3,0,0
106,6,0,3,0,3,2,-3
106,7,0,3,0,3,-1,-1
107,1,0,3,0,3,-1,0
107,2,0,3,0,3,0,0
107,3,0,3,0,3,0,0
107,4,0,3,0,3,-1,0
107,5,0,3,0,3,0,0
107,6,0,3,0,3,2,0
107,7,0,3,0,3,3,-2
108,1,0,3,0,3,-1,-2
108,2,0,3,0,3,1,3
108,3,0,3,0,3,0,0
108,4,0,3,0,3,-1,0
108,5,0,3,0,3,-1,2
108,6,0,3,0,3,0,3
108,7,0,3,0,3,0,-1
109,1,0,3,0,3,-1,-1
109,2,0,3,0,3,-1,-1
109,3,0,3,0,3,-2,-2
109,4,0,3,0,3,-1,-1
109,5,0,3,0,3,0,0
109,6,1,3,1,2,-3,-3
109,7,1,3,1,2,-1,-1
110,1,0,3,0,3,0,0
110,2,0,3,0,3,0,-1
110,3,0,3,0,2,0,-2
110,4,0,3,0,3,0,0
110,5,0,3,0,3,0,0
110,6,1,3,0,2,0,0
110,7,1,3,0,3,-1,-1
111,1,0,3,0,2,0,0
111,2,0,3,0,3,0,0
111,3,0,3,0,3,0,0
111,4,1,3,1,3,0,0
111,5,0,3,0,3,0,-2
111,6,0,3,0,3,0,0
111,7,0,3,0,3,-1,-3
112,1,0,3,0,3,-1,-2
112,2,0,3,0,3,0,0
112,3,1,3,1,3,0,0
112,4,1,3,1,3,-1,-1
112,5,1,3,1,2,0,0
112,6,1,3,1,3,1,-1
112,7,0,3,0,3,0,0
113,1,0,3,0,3,0,-1
113,2,1,3,1,3,0,0
113,3,0,3,0,3,-3,0
113,4,0,3,0,2,0,0
113,5,0,3,0,3,0,0
113,6,1,2,1,3,-3,-1
113,7,0,2,0,3,0,0
114,1,1,3,1,2,0,-2
114,2,1,3,0,3,0,-2
114,3,1,3,1,3,0,0
114,4,0,3,0,2,-2,0
114,5,2,3,2,3,-1,0
114,6,0,3,0,2,0,-1
114,7,1,3,1,3,0,0
115,1,0,3,0,3,-2,0
115,2,0,3,0,2,0,-1
115,3,0,3,0,3,-2,-1
115,4,0,2,0,3,-1,0
115,5,0,2,0,3,0,-2
115,6,0,2,0,3,0,-3
115,7,0,3,0,3,-1,-1
116,1,0,3,0,3,0,-2
116,2,0,3,0,2,0,0
116,3,1,3,1,2,-2,-2
116,4,0,3,0,2,-1,-1
116,5,1,3,1,2,0,0
116,6,0,3,0,2,0,0
116,7,0,3,0,2,0,0
117,1,0,2,0,3,0,0
117,2,0,3,0,3,3,1
117,3,1,3,1,3,3,0
117,4,0,2,0,3,-1,-2
117,5,0,2,0,3,0,-1
117,6,0,3,0,3,1,1
117,7,0,2,0,3,0,-1
118,1,0,2,0,2,1,-1
118,2,0,2,0,3,-1,0
118,3,0,2,0,3,1,-2
118,4,0,3,0,3,-3,0
118,5,0,2,0,3,-1,0
118,6,0,2,0,2,2,-2
118,7,0,2,0,2,0,1
119,1,0,3,0,3,0,0
119,2,0,3,0,3,-2,0
119,3,0,3,0,3,-1,0
119,4,0,3,0,3,1,0
119,5,0,3,0,3,-1,0
119,6,0,3,0,3,0,0
119,7,0,3,0,3,0,0
120,1,0,3,0,3,0,0
120,2,0,3,0,3,0,1
120,3,0,3,0,3,0,0
120,4,0,3,0,3,0,0
120,5,0,3,0,3,0,0
120,6,0,3,0,3,0,0
120,7,0,3,0,3,0,0
121,1,1,3,0,3,0,0
121,2,1,3,1,3,-1,0
121,3,1,3,1,3,-1,0
121,4,0,3,0,3,0,0
121,5,0,3,1,3,-3,0
121,6,0,3,0,3,-1,0
121,7,1,3,0,3,-2,-1
122,1,0,3,3,0,-1,0
122,2,0,3,2,1,-1,-1
122,3,1,3,0,2,2,0
122,4,0,3,0,1,0,0
122,5,0,3,1,1,0,3
122,6,1,2,0,2,-1,-1
122,7,1,2,1,1,0,-1
123,1,1,3,1,2,1,0
123,2,1,2,3,1,1,0
123,3,1,2,2,3,0,-1
123,4,1,2,2,1,2,-3
123,5,2,2,1,2,-3,-2
123,6,1,1,1,1,2,1
123,7,2,1,2,2,1,1
124,1,1,3,2,2,-2,-2
124,2,3,2,1,0,-2,1
124,3,1,2,0,2,1,-2
124,4,1,3,2,3,-3,0
124,5,2,3,1,1,-3,-3
124,6,1,3,1,3,-2,3
124,7,2,3,4,2,-3,-2
125,1,0,3,0,3,0,0
125,2,0,3,0,3,0,0
125,3,0,3,0,3,0,0
125,4,0,3,0,3,0,0
125,5,0,3,0,3,0,0
125,6,0,3,0,3,0,0
125,7,0,3,0,3,0,0
126,1,0,3,0,3,0,0
126,2,0,3,0,3,0,-1
126,3,0,3,0,3,0,1
126,4,2,3,1,3,0,0
126,5,2,3,1,2,0,0
126,6,2,3,1,2,0,-1
126,7,0,3,0,2,0,0
127,1,0,3,0,3,1,0
127,2,0,2,1,3,1,0
127,3,1,3,2,3,0,3
127,4,2,3,3,2,-1,1
127,5,1,2,0,3,1,2
127,6,0,3,0,2,3,1
127,7,0,3,1,3,0,1
135,1,1,3,0,3,0,0
135,2,0,0,0,3,-1,0
135,3,0,1,0,3,0,-1
135,4,2,3,0,2,-1,2
135,5,0,2,0,1,0,1
135,6,1,1,0,1,0,0
135,7,4,3,0,3,-3,-1
136,1,0,3,0,3,0,0
