"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
60,60,4,1,0,4,0,0,5
60,60,5,1,-1,2,2,1,3
60,60,6,1,0,0,2,7,6
60,60,7,1,-1,0,2,0,7
60,560,1,0,-1,0,1,4,7
60,560,2,0,NA,NA,NA,NA,NA
60,560,3,0,1,2,2,8,6
60,560,4,0,-1,4,0,2,0
60,560,5,0,1,3,1,9,7
60,560,6,0,-2,0,2,9,7
60,560,7,0,-3,0,2,8,6
61,61,1,1,-2,0,2,7,5
61,61,2,1,-1,0,1,8,2
61,61,3,1,-1,0,2,4,10
61,61,4,1,0,0,2,2,7
61,61,6,1,0,1,2,3,8
61,61,7,1,2,0,3,1,9
61,561,1,0,0,0,2,3,9
61,561,2,0,-1,0,1,4,6
61,561,3,0,0,0,2,2,9
61,561,4,0,0,0,2,2,7
61,561,6,0,1,1,2,3,9
61,561,7,0,2,0,3,2,9
64,64,1,1,-2,0,3,0,7
64,64,2,1,-2,0,2,0,8
64,64,3,1,NA,NA,NA,NA,NA
64,64,4,1,0,3,2,0,5
64,64,5,1,1,1,3,0,8
64,64,6,1,NA,NA,NA,NA,NA
64,64,7,1,-2,1,3,1,8
64,564,1,0,-2,0,3,0,9
64,564,2,0,0,0,2,0,4
64,564,3,0,NA,NA,NA,NA,NA
64,564,4,0,0,0,3,4,8
64,564,5,0,-1,0,3,0,7
64,564,6,0,NA,NA,NA,NA,NA
64,564,7,0,-2,0,3,1,10
66,66,1,1,0,1,3,4,7
66,66,2,1,NA,NA,NA,NA,NA
66,66,3,1,NA,0,3,0,0
66,66,4,1,1,0,3,0,5
66,66,5,1,-3,NA,3,0,0
66,66,6,1,NA,NA,NA,NA,NA
66,66,7,1,1,2,3,0,0
66,566,1,0,0,1,3,6,NA
66,566,2,0,NA,NA,NA,NA,NA
66,566,3,0,-1,0,3,7,6
66,566,4,0,0,0,2,5,3
66,566,5,0,2,0,3,6,5
66,566,6,0,NA,NA,NA,NA,NA
66,566,7,0,1,0,3,5,5
68,68,1,1,0,0,2,4,5
68,68,2,1,0,0,2,3,5
68,68,3,1,0,1,2,5,5
68,68,4,1,-1,0,2,0,5
68,68,5,1,1,0,2,0,5
68,68,6,1,NA,NA,NA,NA,NA
68,68,7,1,0,2,2,0,5
68,68,8,1,0,0,2,0,1
68,568,1,0,-1,0,3,1,7
68,568,2,0,2,0,3,1,1
68,568,3,0,-2,0,3,2,7
68,568,4,0,0,0,3,3,7
68,568,5,0,2,0,3,0,8
68,568,6,0,NA,NA,NA,NA,NA
68,568,7,0,-2,0,3,7,6
68,568,8,0,-1,0,3,1,7
70,70,1,1,0,1,2,3,8
70,70,2,1,1,1,3,3,5
70,70,3,1,0,0,2,0,9
70,570,1,0,NA,2,3,0,10
70,570,2,0,0,2,2,2,2
70,570,3,0,3,0,2,4,8
71,71,1,1,-1,1,2,5,9
71,71,2,1,0,1,3,5,10
71,71,3,1,1,0,3,6,9
71,71,4,1,-1,2,3,5,9
71,71,5,1,-2,1,2,7,8
71,71,6,1,2,0,3,5,8
71,71,7,1,-2,0,3,5,9
71,571,1,0,-1,1,2,7,9
71,571,2,0,-1,2,3,3,6
71,571,3,0,-2,1,3,5,8
71,571,4,0,3,1,3,7,10
71,571,5,0,-2,1,2,8,4
71,571,6,0,2,0,3,5,7
71,571,7,0,-2,1,3,4,5
72,72,1,1,1,1,2,8,8
72,72,2,1,2,1,2,8,8
72,72,3,1,-1,0,3,4,4
72,72,4,1,-3,2,1,8,4
72,72,5,1,-1,0,2,7,7
72,72,6,1,-1,0,2,8,7
72,72,7,1,-2,2,2,6,6
72,572,1,0,1,2,2,3,3
72,572,2,0,-1,2,3,3,7
72,572,3,0,0,0,2,4,8
72,572,4,0,-2,2,2,7,3
72,572,5,0,-1,0,2,4,6
72,572,6,0,0,0,2,3,7
72,572,7,0,-1,1,2,3,7
73,73,1,1,1,2,1,4,6
73,73,2,1,-3,3,1,1,9
73,73,3,1,0,1,1,8,6
73,73,4,1,3,0,2,3,7
73,73,5,1,-1,1,1,3,6
73,73,6,1,-3,1,0,9,2
73,73,7,1,1,2,1,6,3
73,573,1,0,0,0,3,1,10
73,573,2,0,0,0,3,2,8
73,573,3,0,-2,0,3,9,8
73,573,4,0,0,0,2,2,8
73,573,5,0,0,0,3,2,10
73,573,6,0,0,1,2,1,7
73,573,7,0,2,0,3,1,10
74,74,1,1,-1,2,1,5,1
74,74,2,1,-1,2,3,6,6
74,74,3,1,-1,1,1,6,6
74,74,4,1,0,1,2,6,1
74,74,5,1,-1,2,2,5,1
74,74,6,1,-1,2,2,1,1
74,74,7,1,-1,1,2,6,6
74,574,1,0,-2,1,2,6,6
74,574,2,0,-1,1,1,5,5
74,574,3,0,-3,1,2,1,1
74,574,4,0,-3,2,2,10,1
74,574,5,0,-1,2,2,1,5
74,574,6,0,-1,1,2,10,1
74,574,7,0,-1,1,2,5,5
75,75,1,1,1,0,2,6,8
75,75,2,1,-2,1,1,8,9
75,75,3,1,0,0,3,5,8
75,75,4,1,1,0,2,4,7
75,75,5,1,-2,0,2,5,10
75,75,6,1,0,0,2,7,8
75,75,7,1,-1,0,3,6,9
75,575,1,0,-1,2,3,8,8
75,575,2,0,0,1,3,7,7
75,575,3,0,1,2,2,6,7
75,575,4,0,0,3,2,7,6
75,575,5,0,0,2,1,6,7
75,575,6,0,-1,3,2,7,6
75,575,7,0,0,1,3,6,7
76,76,1,1,0,0,2,10,10
76,76,2,1,0,0,2,10,10
76,76,3,1,0,2,2,10,10
76,76,4,1,0,0,2,8,8
76,76,5,1,0,0,2,10,10
76,76,6,1,-1,0,2,10,10
76,76,7,1,0,0,2,8,9
76,576,1,0,0,0,2,7,10
76,576,2,0,0,0,2,7,10
76,576,3,0,0,1,2,7,10
76,576,4,0,1,0,2,8,9
76,576,5,0,0,0,2,10,10
76,576,6,0,0,0,2,10,10
76,576,7,0,0,1,2,7,8
77,77,1,1,0,0,3,10,10
77,77,2,1,0,0,3,10,10
77,77,3,1,0,0,3,8,8
77,77,4,1,0,0,3,9,9
77,77,5,1,-1,0,3,10,10
77,77,6,1,0,0,3,10,10
77,77,7,1,0,0,3,10,10
77,577,1,0,0,0,3,10,10
77,577,2,0,0,0,3,10,10
77,577,3,0,0,0,3,10,10
77,577,4,0,0,0,3,10,10
77,577,5,0,0,1,3,8,8
77,577,6,0,0,0,3,10,9
77,577,7,0,0,0,3,10,10
78,78,1,1,0,0,3,10,10
78,78,2,1,0,0,3,10,10
78,78,3,1,0,0,3,10,10
78,78,4,1,0,0,3,9,9
78,78,5,1,0,0,3,10,10
78,78,6,1,0,0,3,10,10
78,78,7,1,0,0,3,10,10
78,578,1,0,0,0,3,10,10
78,578,2,0,0,0,3,10,10
78,578,3,0,0,0,3,10,10
78,578,4,0,0,0,3,10,10
78,578,5,0,0,0,3,10,10
78,578,6,0,0,0,3,10,10
78,578,7,0,0,0,3,10,10
79,79,1,1,0,0,3,10,10
79,79,2,1,0,1,3,9,9
79,79,3,1,0,1,3,10,10
79,79,4,1,-2,1,3,10,10
79,79,5,1,0,1,3,10,10
79,79,6,1,0,1,3,10,10
79,79,7,1,-1,1,3,10,10
79,579,1,0,0,0,2,8,9
79,579,2,0,0,0,2,9,8
79,579,3,0,0,0,2,10,9
79,579,4,0,0,0,1,8,8
79,579,5,0,-1,2,2,7,7
79,579,6,0,0,1,2,10,10
79,579,7,0,0,0,2,6,9
80,80,1,1,0,0,2,8,9
80,80,2,1,0,1,2,8,7
80,80,3,1,0,2,2,9,9
80,80,4,1,0,0,2,8,7
80,80,5,1,0,2,2,7,9
80,80,6,1,1,2,2,8,7
80,80,7,1,0,0,2,9,9
80,580,1,0,0,0,2,8,8
80,580,2,0,0,1,2,10,9
80,580,3,0,0,1,2,9,9
80,580,4,0,-2,0,2,7,6
80,580,5,0,0,2,2,9,9
80,580,6,0,0,2,2,7,7
80,580,7,0,0,0,2,7,9
81,81,1,1,0,0,3,10,10
81,81,2,1,0,0,3,10,10
