"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
137,4,0,0,0,1,3,0,-1,0,1,3
137,5,0,1,0,1,3,0,0,0,1,3
137,6,0,0,0,1,3,0,0,0,1,3
137,7,0,1,0,1,3,0,-1,-1,1,2
138,1,0,0,0,0,3,0,0,0,0,3
138,2,0,1,0,1,3,0,0,0,1,3
138,3,0,0,0,0,3,0,0,0,0,3
138,4,0,0,0,0,3,-1,0,0,0,3
138,5,0,0,0,0,3,0,1,0,0,3
138,6,0,0,0,0,3,0,0,0,1,3
138,7,0,1,0,1,3,0,0,0,1,3
139,1,0,1,0,0,3,0,1,0,0,3
139,2,0,0,0,0,3,0,1,0,0,3
139,3,0,0,0,0,3,0,0,0,0,3
139,4,0,0,0,1,3,0,1,0,1,3
139,5,0,0,0,1,3,0,0,0,1,3
139,6,0,0,0,0,2,0,0,0,0,3
139,7,0,0,0,0,2,0,0,0,0,3
140,1,0,0,0,0,2,0,0,0,0,2
140,2,0,0,0,0,2,0,0,0,0,2
140,3,0,0,0,0,2,-1,0,0,0,2
140,4,-1,-1,0,0,2,1,1,1,0,0
140,5,0,1,-1,0,2,0,0,0,0,2
140,6,0,0,0,0,2,0,0,0,0,2
140,7,0,0,0,0,2,0,0,0,0,2
141,1,-1,-1,-1,2,3,0,-1,0,1,3
141,2,-1,-1,0,2,3,-1,0,0,2,2
141,3,-1,-1,-1,1,3,0,0,0,2,2
141,4,-1,-1,-1,1,2,0,0,0,1,3
141,5,-1,-1,-1,1,3,0,0,0,4,3
141,6,-1,0,-1,0,3,0,0,0,0,3
141,7,NA,NA,NA,NA,NA,-1,-1,0,2,3
142,1,0,0,0,2,2,0,0,0,3,2
142,2,0,0,0,3,2,0,0,0,3,1
142,3,0,-1,0,3,2,0,0,0,3,2
142,4,-1,0,-1,3,2,-1,0,-1,3,3
142,5,1,0,1,2,2,1,1,1,2,2
142,6,0,0,0,2,2,0,0,0,2,2
142,7,-1,-1,-1,2,3,-1,-1,-1,2,2
143,1,0,0,0,0,3,0,0,0,0,3
143,2,0,0,0,0,3,0,0,0,0,3
143,3,0,0,0,0,3,0,0,0,0,3
143,4,0,0,0,0,3,0,0,0,0,3
143,5,0,0,1,0,3,-1,0,0,0,3
143,6,0,0,0,0,3,0,0,0,0,3
143,7,0,0,0,0,3,0,0,0,0,3
144,1,0,1,0,1,3,-1,-1,0,0,3
144,2,1,1,0,1,2,1,0,0,0,3
144,3,-1,1,-1,0,2,0,-1,0,0,3
144,4,-1,1,0,3,0,0,0,0,0,2
144,5,0,0,1,1,2,0,0,0,0,2
144,6,1,1,1,0,3,0,0,0,0,2
144,7,-1,-1,-1,0,2,0,0,0,0,2
145,1,-1,0,0,3,2,0,0,0,2,2
145,2,0,0,-1,2,3,-1,-1,-1,0,2
145,3,1,1,0,4,2,-1,-1,0,0,2
145,4,-1,-1,0,3,1,-1,-1,-1,1,0
145,5,0,0,0,3,2,-1,-1,1,3,2
145,6,-1,-1,0,3,3,0,0,0,2,2
145,7,0,0,0,4,3,-1,0,-1,2,3
146,1,-1,-1,-1,2,0,-1,-1,-1,2,1
146,2,-1,-1,-1,1,1,-1,-1,-1,3,0
146,3,-1,-1,-1,1,1,-1,-1,-1,1,1
146,4,-1,0,0,3,1,-1,-1,-1,3,0
146,5,-1,-1,-1,3,1,-1,-1,-1,3,1
146,6,-1,-1,-1,3,1,-1,-1,-1,3,1
146,7,-1,-1,-1,3,1,-1,-1,-1,3,1
147,1,0,0,0,0,3,0,0,0,0,3
147,2,0,1,0,0,3,1,1,1,0,3
147,3,0,0,0,0,3,0,0,0,0,3
147,4,0,0,1,0,3,0,0,0,0,3
147,5,0,0,1,0,3,0,0,1,0,3
147,6,0,0,1,0,3,0,0,0,0,3
147,7,0,0,0,0,3,0,0,0,0,3
148,1,-1,0,0,1,3,-1,0,0,1,3
148,2,1,1,0,2,3,1,1,0,2,3
148,3,1,0,1,2,3,1,0,0,2,3
148,4,1,0,0,0,3,1,0,0,0,3
148,5,0,0,0,0,3,0,0,0,0,3
148,6,0,0,0,0,3,0,0,0,0,3
148,7,0,0,0,0,3,0,0,0,0,3
149,1,0,0,0,0,3,0,0,1,1,3
149,2,0,0,0,0,3,0,0,0,3,3
149,3,0,0,0,0,3,0,0,0,2,3
149,4,0,0,0,0,3,0,0,0,0,3
149,5,0,0,0,0,3,0,0,0,0,3
149,6,0,0,0,0,3,0,0,0,0,3
149,7,0,0,0,0,3,0,0,0,0,3
150,1,-1,0,0,1,0,0,0,0,0,1
150,2,-1,0,0,0,3,0,0,0,0,1
150,3,0,0,0,0,3,0,0,0,0,3
150,4,0,0,0,0,3,0,0,0,0,3
150,5,0,0,0,0,3,0,0,0,0,3
150,6,0,0,0,0,3,0,0,0,0,3
150,7,0,0,0,0,3,0,0,0,0,3
151,1,-1,0,0,0,2,-1,0,-1,0,2
151,2,-1,0,0,0,2,-1,0,0,0,3
151,3,0,0,0,0,2,-1,0,0,0,2
151,4,-1,0,0,0,2,-1,0,0,0,2
151,5,0,0,-1,0,2,0,0,-1,0,3
151,6,-1,0,0,0,2,-1,-1,0,0,2
151,7,-1,0,0,0,2,-1,0,0,0,2
152,1,-1,0,0,0,3,-1,0,0,0,3
152,2,-1,0,0,0,3,-1,0,0,0,3
152,3,0,0,0,0,3,-1,0,0,0,3
152,4,0,0,0,0,3,-1,0,0,0,3
152,5,0,0,0,0,3,-1,0,0,0,3
152,6,-1,-1,0,0,3,-1,0,0,0,3
152,7,-1,0,-1,0,3,-1,0,0,0,3
153,1,0,0,0,0,3,0,0,-1,0,3
153,2,-1,0,0,0,3,-1,0,0,0,3
153,3,0,0,0,0,3,0,0,0,0,3
153,4,0,0,0,0,3,0,0,0,0,3
153,5,0,-1,0,0,3,0,-1,-1,0,2
153,6,0,-1,0,0,3,0,-1,-1,0,3
153,7,0,0,-1,0,3,0,0,-1,0,2
154,1,0,0,0,0,3,0,0,0,0,3
154,2,0,0,-1,0,3,0,-1,0,0,2
154,3,-1,-1,0,0,3,-1,0,0,0,3
154,4,0,-1,0,0,3,0,0,0,0,3
154,5,0,0,0,0,3,0,-1,1,0,3
154,6,-1,-1,0,0,3,0,0,0,0,3
154,7,0,0,0,0,3,0,0,0,0,3
155,1,-1,-1,-1,1,3,-1,-1,-1,1,3
155,2,-1,0,0,1,3,-1,0,0,2,3
155,3,0,-1,-1,0,3,0,-1,-1,0,3
155,4,0,0,0,1,3,0,0,0,1,3
155,5,0,0,0,0,3,0,0,0,0,3
155,6,0,-1,0,0,3,0,0,-1,0,3
155,7,-1,0,0,0,3,-1,0,0,0,3
156,1,0,-1,0,0,3,0,0,-1,0,3
156,2,-1,0,0,0,3,-1,-1,0,0,3
156,3,0,0,1,0,3,-1,0,0,0,3
156,4,1,0,1,0,3,0,0,-1,0,3
156,5,0,0,0,0,3,0,0,0,0,3
156,6,1,1,0,0,3,-1,-1,-1,0,3
156,7,-1,0,0,0,3,-1,0,0,0,3
157,1,-1,0,0,0,3,0,0,0,0,3
157,2,0,0,0,0,3,0,0,0,0,3
157,3,0,0,0,0,3,0,0,0,0,3
157,4,-1,-1,1,0,3,0,0,0,0,3
157,5,-1,0,1,0,3,0,0,0,0,3
157,6,1,1,0,0,3,0,0,0,0,3
157,7,1,1,1,0,3,0,-1,-1,0,3
158,1,0,-1,0,0,3,0,-1,-1,0,3
158,2,-1,1,1,0,3,1,1,1,0,3
158,3,0,0,0,0,3,0,0,0,0,3
158,4,-1,0,0,0,3,0,0,0,0,3
158,5,-1,0,0,0,3,0,1,1,0,3
158,6,0,0,0,0,3,1,1,1,0,3
158,7,0,0,0,0,3,-1,-1,1,0,3
159,1,-1,0,0,0,3,-1,0,0,0,3
159,2,0,0,-1,0,3,0,0,-1,0,3
159,3,0,-1,-1,0,3,0,-1,-1,0,3
159,4,0,0,-1,0,3,0,0,-1,0,3
159,5,0,0,0,0,3,0,0,0,0,3
159,6,-1,-1,-1,1,3,-1,-1,-1,1,2
159,7,-1,0,0,1,3,-1,0,0,1,2
160,1,0,0,0,0,3,-1,1,0,0,3
160,2,0,0,0,0,3,0,0,-1,0,3
160,3,0,0,0,0,3,0,-1,-1,0,2
160,4,0,0,0,0,3,0,0,0,0,3
160,5,0,0,0,0,3,0,0,0,0,3
160,6,-1,1,0,1,3,0,0,0,0,2
160,7,-1,0,0,1,3,-1,0,0,0,3
161,1,0,0,0,0,3,0,0,0,0,2
161,2,0,0,0,0,3,0,0,0,0,3
161,3,0,0,0,0,3,0,0,0,0,3
